"","text","word_scores","compound","pos","neu","neg","but_count","positive","negative","neutral","assigned"
"12","Chicago, party with us IN PERSON on Saturday, August 28th at Kennedy King College! This FREE event is open only to fully vaccinated guests who are RESIDENTS OF CHICAGO. To attend, get vaxxed by 8/14, &amp;  register at ","{0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.792,0.163,0.837,0,0,1,0,0,"Positive"
"13","The American College of Rheumatology released recommendations for vaccinating #rheumatology patients against COVID-19. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"14","#HigherEducation institutions are making plans for a safe fall semester.  is tracking which colleges and universities will require students to receive the #COVID19 vaccine.","{0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.44,0.112,0.888,0,0,1,0,0,"Positive"
"15","An error: health department says Sydney private school students given Pfizer vaccine by mistake - The Guardian Australia: NSW Health agreed to vaccinate Indigenous boarders at St Josephs College but through an error all year 12 boarders were ","{0, -0.85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.7, 0, 0, 0, 0, 0, 0, 0.55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.55, 0, 0, 0, 0, 0}",-0.676,0.036,0.797,0.166,1,0.178217821782178,0.821782178217822,0,"Negative"
"16","   so why they making college and high school kids feel they should be wearing them, glad my daughter has left now and nope, we aint getting no vaccine either, we look after our OWN health thanks.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.888, 0, 0, 0, 0, 0, 0, 0, 0, 1.9}",0.777,0.186,0.814,0,0,1,0,0,"Positive"
"17","           Will request you to kindly prioritize the administration of the recently  approved moderna vaccine to students in the age group 17-18 yrs, appearing for college n other entrance exams please..","{0, 0, 0, 0, 0, 2.2, 0, 0, 0, 0, 0, 0, 1.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3}",0.807,0.229,0.771,0,0,1,0,0,"Positive"
"18","REMINDER: The NC Department of Health &amp; Human Services next vaccine lottery drawing is Wednesday. ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"19","FREE #COVID19 vaccine clinic from 10a-1:30p tomorrow to anyone 18+ at Laney College in #Oakland. Im told Moderna and J&amp;J shots will be available, so you can have full immunity in as little as two weeks. ","{3.033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.617,0.103,0.897,0,0,1,0,0,"Positive"
"20","  Virologists are worried by the way vaccines are being used to prevent illness in people rather than the usual primary aim of a vaccine, which is to prevent infection in the first place, said Professor Richard Tedder of Imperial College London.","{0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.572,0.049,0.843,0.109,0,0.310126582278481,0.689873417721519,0,"Negative"
"21","An error: health department says Sydney private school students given Pfizer vaccine by mistake An error? My arse. It was bloody intentional... ","{0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0, -1.7, 0, 0, 0, 0, -1.9, 0}",-0.866,0,0.627,0.373,0,0,1,0,"Negative"
"22","India: post vaccination death #2644Maharashtra: Nagpur58 year old man from Hansapuri Nagpur, died on Saturday July 3, at Indira Gandhi Government Medical College &amp; Hospital, just within 2 hours after receiving second does of Covishield COVID-19 vaccine","{0, 0, 0, -2.9, 0, 0, 0, 0, 0, 0, 0, 0, -2.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.818,0,0.824,0.176,0,0,1,0,"Negative"
"23","oops I didn\t mean to give priority vaccination to children of the uber richNSW Health apologises for \error\ after St Joseph\s College students receive Pfizer COVID-19 vaccine jabs ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0637, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.162,0.067,0.845,0.088,0,0.432258064516129,0.567741935483871,0,"Negative"
"24","CT Public health is offering college students a $2750 stipend to join efforts in focusing on addressing vaccine hesitancy and to help scale down hesitancy in Covid vaccines","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2, 0, 0, 0, 0, 0, 0, -0.9, 0, 0, 1.7, 0, 0, -0.9, 0, 0, 0}",0.273,0.15,0.734,0.116,0,0.56390977443609,0.43609022556391,0,"Positive"
"25"," 1st and 2nd dose MODERNA Clinics    Appts available Thursday, July 8 for MODERNA vaccine People 18+ in any M postal code FIRST DOSE walk-ins available Seneca College (1750 Finch Ave) and NYGH (4000 Leslie St.)Book online: ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"26"," Massachusetts has a vaccine lottery, $1m for adults and a college scholarship for kids. I cant believe people need to be bribed but I put all our names in anyway.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,1,NA,NA,1,"Neutral"
"27","How College COVID Vaccine Mandates Put Students In Danger ","{0, 0, 0, 0, 0, 0, 0, 0, -2.4}",-0.527,0,0.702,0.298,0,0,1,0,"Negative"
"28"," Youre decision to require all students to be vaccinated in the fall puts them at potential risk for long term health related issues.  ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.1, 0, 0, 0, 0, 0, 0}",-0.273,0,0.916,0.084,0,0,1,0,"Negative"
"29","Me: Should I care to post my college degree certificate on social media !?Le people: Posts vaccine certificate as if they cracked UPSC #COVID19 #COVISHIELD","{0, 0, 0, 2.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.541,0.127,0.873,0,0,1,0,0,"Positive"
"30","University students throughout CT are invited to earn up to $550 per week by joining the Connecticut Public Health College Corps, a collaboration between QU and the state Department of Public Health to address vaccine hesitancy among those ages 18 to 24: ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.9, 0, 0, 0, 0, 0, 0}",-0.226,0,0.956,0.044,0,0,1,0,"Negative"
"31","Rates of the previous session student do not want their studies to be wasted again.And the first dose of covid-19 vaccine has been administered to all the studentSo please trouble to open college soonThankyou.   #Reopencolleges","{0, 0, 0, 0, 0, 0, 0, 0, -0.222, 0, 0, 0, 0, -2.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3, -1.7, 0, 0, 0, 0, 0}",-0.589,0.057,0.767,0.176,0,0.244635193133047,0.755364806866953,0,"Negative"
"32","The Summer Cash &amp; Cash 4 College drawings continue, with chances to win $1 million for those 18+ or $125,000 for post-secondary education for those 12-17. Its easy to enterget your vaccine! Learn more: ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8, 0, 2.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0}",0.831,0.221,0.779,0,0,1,0,0,"Positive"
"33","NSW Health apologises for error after St Josephs College students receive Pfizer COVID-19 vaccine jabs ","{0, 0, 0.8, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.226,0.103,0.743,0.154,0,0.400778210116731,0.599221789883268,0,"Negative"
"34","Filing this in the Yeah , right folder. NSW Health apologises for error after St Josephs College students receive Pfizer COVID-19 vaccine jabs - ABC News #yeahright ","{0, 0, 0, 0, 1.2, 0, 0, 0, 0, 0, 0.8, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.077,0.13,0.782,0.088,0,0.596330275229358,0.403669724770642,0,"Positive"
"35","An error: health department says Sydney private school students given Pfizer vaccine by mistake ","{0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4}",-0.625,0,0.702,0.298,0,0,1,0,"Negative"
"36","Im vaccinated but have an 18-yr old going to college who had C19 three months ago. And now CDC recommends he still get two doses of an mRNA vaccine? This seems borderline unethical and I dont use that word lightly. Cc:     ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.45, 0, 0, 0, 0, 0, 0, 0, 0}",-0.477,0.051,0.852,0.097,1,0.344594594594595,0.655405405405405,0,"Negative"
"37","Self-amplifying RNA COVID-19 vaccine technology safe in humans, suggests study | Imperial News | Imperial College London ","{0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.44,0.153,0.847,0,0,1,0,0,"Positive"
"38","College studentsplease protect yourself, your classmates and your faculty before returning to campus this fall. Visit ","{0, 0, 1.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.382,0.148,0.852,0,0,1,0,0,"Positive"
"39","   All Year 12 Indigenous students had permission to be vaccinatedThe school has a large number of Indigenous residential studentsAll Year 12 students were vaccinated by mistake","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4}",-0.273,0.045,0.871,0.084,0,0.348837209302326,0.651162790697674,0,"Negative"
"40","Planning for university or college? Want a more normal student life? Get your COVID-19 vaccine. Aged 18+ book your vaccine at ","{0, 0, 0, 0, 0, 0.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.168,0.077,0.923,0,0,1,0,0,"Positive"
"41","   There was permission to vaccinate all Year 12 Indigenous studentsThere are many Indigenous residential students at the schoolAll Indigenous 16-49 are to be vaccinatedSomehow all Year 12 were vaccinated by mistake","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4}",-0.34,0,0.928,0.072,0,0,1,0,"Negative"
"42","  There was permission to vaccinate all Year 12 Indigenous studentsThere are many Indigenous residential students at the schoolSomehow all Year 12 were vaccinated by mistake ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4}",-0.34,0,0.912,0.088,0,0,1,0,"Negative"
"43"," It wasnt completely a mistake Year 12 Indigenous students were to be vaccinatedThey meet the guidelines of vaccinating all Indigenous 16 years and over in the countryBut all year 12 students were vaccinated by mistake","{0, 0, 0, 0, 0, 1.241979, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4}",-0.041,0.058,0.88,0.062,0,0.483333333333333,0.516666666666667,0,"Negative"
"44","remembering when i got my second vaccine and my mom was holding my hand as i had a panic attack and the nurse goes so what year are you in high school? and i had to tell her i was in fact a college graduate","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2, 0, 0, 0, 0, -2.3, -2.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.494,0.062,0.814,0.124,0,0.333333333333333,0.666666666666667,0,"Negative"
"45","vaccine and college results all in one day friday will be interesting","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7}",0.402,0.197,0.803,0,0,1,0,0,"Positive"
"46","An error; A #RACIST A DISGRACE The Sydney Local Health District, which is part of NSW Health, said an error had led to the entire year 12 cohort at St Josephs being vaccinated, instead of just the Aboriginal students.   ","{0, -1.7, 0, -3.733, 0, -2.933, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.933,0,0.713,0.287,0,0,1,0,"Negative"
"47","#NOVA #NoVA #Liberals TRYING TO KILL THEIR EMPLOYEES &amp; STUDENTS! LOSERS RUNNING  ONLY #Hospital to require Fake Vaccine #CovidVaccine which is #GeneTherapy and....LOSERS RUNNING  ONLY #College to require #Fake #COVID19 Vax which is KILLING YOUNG MEN","{0, 0, 0, 0, 0, -4.433, 0, 0, 0, 0, -3.133, 0, 0, 0, 0, 0, -2.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.1, 0, 0, 0, 0, -4.133, 0, 0}",-0.973,0,0.594,0.406,0,0,1,0,"Negative"
"48","If any institution mandates COVID-19 vaccination, the  strongly urges robust, transparent, and readily accessible exemptions for medical, religious, and conscience reasons. Thank you to our colleagues in the medical community for urging the same.","{0, 0, 0, 0, 0, 0, 0, 1.1, 0, 1.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.718,0.184,0.816,0,0,1,0,0,"Positive"
"49","Now they\re calling it an error. What\s the bet that if someone pulled the threads they would discover someone called a favour from a mate or a mate of a mate?  Buy or influence your way to anything, just add a bit of plausible deniability. ","{0, 0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.052,0.06,0.885,0.056,0,0.517241379310345,0.482758620689655,0,"Positive"
"50","   I am okay with semnatics of it beung a baylor college vaccine made by bio e. My biggest worry is will enough people turn up to take atleast one dose before a third wave. Availability is simply not a problem now,we better rush to extend coverage.","{0, 0, 0, 0.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.258, 0, 1.9, 0, 0, 0.7, 0}",0.594,0.163,0.783,0.054,0,0.751152073732719,0.248847926267281,0,"Positive"
"51","                                                  Vaccine protection doesnt last. The rest is speculative and we dont know what threats may be released from labs next. By March weve lost two years. For a 16 year old thats their entire college career. Do you want to keep this up for 5yrs (college + uni) a decade? How long?","{0, 0, 0, 0, 0, 0, 0, 0, 0.4, 0, 0, 0, 0, 0, 1.332, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.271,0.095,0.864,0.041,0,0.698529411764706,0.301470588235294,0,"Positive"
"52","How College COVID Vaccine Mandates Put Students In DangerMore than520of Americas 5,300 colleges and universities, approximately 10 percent, have announced students must be fully vaccinated against COVID before they return for fall classes.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"53","How College COVID Vaccine Mandates Put Students In Danger","{0, 0, 0, 0, 0, 0, 0, 0, -2.4}",-0.527,0,0.702,0.298,0,0,1,0,"Negative"
"54","College Athletes Endorsements -SB 2338allows athletes to earn money if their college or university uses their name, image, or likeness for profit! Vaccine Lottery- $7 million in cash prizes &amp; $3 million in scholarships open to all Illini whove received one C-19 shot b4 7/1","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.735,0.126,0.874,0,0,1,0,0,"Positive"
"55"," IM 20 most of my age group and college peers complain about how the vaccine was to Fast. I think they should take their time with approval, because people will complain its way fast of an approval. Many said even if gets FDA approved they wont take it.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1, 0, 0, 0, -1.5, 0, 0, 0, 0, 0, 2.1, 0, 0, 0, 0, 0, 0, 1.8, 0, 0, 0, 0}",0.612,0.155,0.759,0.086,0,0.643153526970954,0.356846473029046,0,"Positive"
"56"," No idea about Second dose , many have not taken it yet ( most did not get a slot) some does not want to take vaccine but are forced to ( lets leave them ) but #VTU thinks single dose is enough to open the College , did not know there is separate Science  Principles for #VTU","{0, -0.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.111, 0, 0, 0, 0, 0, -3, 0, 0, 0, -0.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.719,0,0.871,0.129,2,0,1,0,"Negative"
"57","Theres still time to get your #COVID19MA vaccine and be eligible for a #MassVaxMillions prize drawing. Dont miss out on your chance to win $1 million or a college scholarship!Make an appointment today  ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3, 0, 0, 0.444, 0, 0, 0, 1, 0, 2.8, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.87,0.272,0.728,0,0,1,0,0,"Positive"
"58","    My youngest grandson is in his 3rd year of College and he was required to take the vaccine before returning to class. I hope all the schools are doing this. When my children were in school, I had them vaccinated every year.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.44,0.065,0.935,0,0,1,0,0,"Positive"
"59","The  Fat F*CKER Science denier NEVER DEVELOPED a VACCINE .  He couldn\t tell a Beaker from a Bunsen Burner. #CADETBONESPURS hired a proxy to take his college entrance exams!#Darwin will take care of the unvaccinated, they follow your Seditious Cult party. #DeathLottery ","{0, 0, 0, 0, -1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2, 0, 0, 0, 0, 0, 0, -1.7, 0, 1.7, 0}",0.248,0.125,0.769,0.105,0,0.543478260869565,0.456521739130435,0,"Positive"
"60"," The  Fat F*CKER Science denier NEVER DEVELOPED a VACCINE .  He couldn\t tell a Beaker from a Bunsen Burner. #CADETBONESPURS hired a proxy to take his college entrance exams!#Darwin will take care of the unvaccinated, they follow your Seditious Cult party. #DeathLottery","{0, 0, 0, 0, 0, -1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2, 0, 0, 0, 0, 0, 0, -1.7, 0, 1.7, 0}",0.248,0.123,0.774,0.103,0,0.54424778761062,0.455752212389381,0,"Positive"
"61","Apparently all of the 163 year 12 students #accidentally got on the bus to the vaccine centre. Not only the handful of indigenous year 12s. Parents of students #accidentally signed permission forms. 1 of.... ","{0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0, 0, 0, 0, 0}",-0.586,0,0.87,0.13,0,0,1,0,"Negative"
"62","   It was an error. Absolutely a NSW govt stuff up. It seems a boarding school loophole is being exploited. It all goes back to the fed govt trying to be too clever when Pfizer offered to fast track us. If there was supply then the rollout could ramp up. ","{0, 0, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.402,0.054,0.844,0.102,0,0.346153846153846,0.653846153846154,0,"Negative"
"63","Weve released OVER 2,500 SPOTS  If youre still looking to get your first or second dose, visit our website now to book at Century Gardens in #Brampton or Humber College in #Etobicoke: ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"64","     Shi kh rha h bhai desh to bjp sarkar m gaddhe m ja rha h 40 lakh vaccine lga kr hr roz, free gas connection se, faltu m itnE medical college khulwa ke...shi h bhai vote for secular party congress..","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7, 0}",0.718,0.133,0.867,0,0,1,0,0,"Positive"
"65","Omniuous feeling that after vaccine drive and people ready to go to college. The new delta stuff will start over and yeah another months of wait to college. ","{0, 0.5, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2, 0, 0, 0, 0, 0, 0}",0.637,0.199,0.801,0,0,1,0,0,"Positive"
"66","  Any BC Football players denied an exemption from the covid vaccine, DM me. We have hired a lawyer to sue Boston College. #bostoncollege #bcfootball","{0, 0, 0, 0, 0, -1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.44,0,0.892,0.108,0,0,1,0,"Negative"
"67","St. Charles Community College is proud to join the  challenge to help keep our community safe. ","{0, 0, 0, 0, 0, 2.1, 0, 1.2, 0, 0.3, 0, 1.7, 0, 0, 0, 1.9}",0.881,0.526,0.474,0,0,1,0,0,"Positive"
"68","Should you try to get a booster?","{0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0,NA,NA,1,"Neutral"
"69","Oh shit, so instead of only vaccinating one section of the year, they vaccinated the entire year group instead and with a vaccine not recommended for the under 40s ","{0, -2.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.592, 0, 0, 0, 0}",-0.636,0,0.839,0.161,0,0,1,0,"Negative"
"70"," PLEASE !! Let 16-17 yr get the vaccine if they wish !! They go back to school/college 6/7 weeks let them at least have 1st jag","{0, 2.033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.785,0.216,0.784,0,0,1,0,0,"Positive"
